cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m1_rhat
2019-10-31,23,1,0,492.4669120363393,1678.9716317004638,116.2562645938934,13624.87290274826,1.002297174118986
2019-10-31,23,2,0,760.8582096356056,2557.5166600629973,153.32235736005714,22214.84066697842,1.002297174118986
2019-10-31,23,6,0,2896.150744499153,9685.070181725425,510.767496977399,87244.02374002253,1.002297174118986
2019-10-31,24,1,0,4486.602629617672,14913.36703532606,701.088362277287,144390.00349437128,1.002297174118986
2019-10-31,24,2,0,4130.250717064475,13770.182844495102,685.0032026219826,126239.60323622052,1.002297174118986
2019-10-31,24,6,0,30342.697167937265,100296.44130916783,4488.799265143178,1030399.7655064568,1.002297174118986
2019-10-31,25,1,0,631.7627537287123,2193.442638663725,135.35723867686008,18176.27344030505,1.002297174118986
2019-10-31,26,1,0,1186.7319980369343,3932.7762940997545,230.08399412055715,33892.9198082225,1.002297174118986
2019-10-31,26,2,0,20519.609815564738,67395.81963074933,3360.2667596320225,649863.097699241,1.002297174118986
2019-10-31,26,6,0,38173.59796290832,124447.4106403097,5993.916173980727,1110451.6420119,1.002297174118986
2019-10-31,27,1,0,260.74273332974997,902.6541863092976,72.13123802435017,6632.902275136241,1.002297174118986
2019-10-31,27,2,0,169.6218298524833,561.1192226631152,50.13947586023228,3909.658712758131,1.002297174118986
2019-10-31,27,6,0,1056.0260681426018,3567.4938300168756,188.31609229267593,30647.97624752902,1.002297174118986
2019-10-31,28,1,0,33941.29665718213,113667.5648985552,5482.558934587506,1110047.910351376,1.002297174118986
2019-10-31,29,1,0,425.0917660313874,1460.038896715639,100.79835269866317,12044.4368300495,1.002297174118986
2019-10-31,29,2,0,924.41793984223,3120.9706253704644,184.34685559074194,26836.28677162272,1.002297174118986
2019-10-31,29,6,0,3562.472133679992,11736.802648751407,603.0265618195755,111499.85031647715,1.002297174118986
2019-11-30,1,1,0,300.5414748657504,960.6947362055487,75.80818865605886,7221.111249820377,1.0021953326400626
2019-11-30,1,2,0,580.7103202828614,1862.431080749399,136.7617061310777,17211.073952954626,1.0021953326400626
2019-11-30,1,6,0,2228.3744335975043,6962.361481281314,401.5497978510533,66313.10063082352,1.0021953326400626
2019-11-30,2,1,0,182.83095711046556,572.2902651115094,53.80488580868118,4203.989247064826,1.0021953326400626
2019-11-30,2,2,0,250.6151044743107,808.0021093518961,72.01133952918771,6025.926928161809,1.0021953326400626
2019-11-30,2,6,0,970.0119605560183,3081.821368389963,187.03563074454365,28999.381752667534,1.0021953326400626
2019-11-30,3,1,1,213.74033224935107,419.0781993454332,45.38231054493741,2836.5667791029477,1.0021953326400626
2019-11-30,3,2,0,1238.21924928949,3903.1820192026585,242.12700559217393,35662.12899355486,1.0021953326400626
2019-11-30,3,6,0,1847.3646599199774,5771.345843606055,327.817367164394,54383.58095029364,1.0021953326400626
2019-11-30,4,1,1,255.5626864780142,477.5515732113031,49.552096832462105,3347.0738165576595,1.0021953326400626
2019-11-30,4,2,0,1067.8732562338278,3368.9576765665597,222.98496495751053,31580.266173248114,1.0021953326400626
2019-11-30,4,6,0,4335.835360020719,13605.680417658785,754.0588586240683,120915.44060642758,1.0021953326400626
2019-11-30,5,1,0,429.7890296973186,1389.0027366213092,100.56686695355653,11452.239315776062,1.0021953326400626
2019-11-30,5,2,0,239.71797601156982,775.8003590190204,68.21469997237136,6121.282802289253,1.0021953326400626
2019-11-30,5,6,0,642.7028963892005,2062.8945424958924,140.19211824712053,18171.28627622824,1.0021953326400626
2019-11-30,6,1,0,540.6979109496735,1778.7868744036602,122.29514717548376,14956.924648434073,1.0021953326400626
