cutoff,subsystem,ftype,n_fail_cum,gamma,m3,m3_lo95,m3_hi95
2020-06-30,8,6,0,2018.3271823248258,22019.681947932553,1.945575238269029e-20,71.23650150473722
2020-06-30,9,1,9,103.55071206786533,27.12578314404302,6.73772194446369,39.724892300569884
2020-06-30,9,2,1,500.8023130550554,177.04974436687937,0.00671723877409004,200.3194425685882
2020-06-30,9,6,0,5047.942732057977,47945.15542853563,7.662089512837576e-21,43.34742093409276
2020-06-30,10,1,1,10220.23889497208,205.7827111673611,1.2717245531325361e-14,192.60404340693975
2020-06-30,10,2,3,4789.06944748604,68.4078558255547,2.9696552032225024e-10,100.15513878295866
2020-06-30,10,6,3,64058.54444748604,70.54490355924293,3.8730976915963624,126.26880068880124
2020-06-30,11,1,0,931.6900184232594,11487.089520506726,5.529122153308985e-18,134.85705846168122
2020-06-30,11,2,0,1105.8866471342774,13304.666157095045,5.167782814856975e-19,118.59112696309607
2020-06-30,11,6,0,5849.18632691514,54535.83615012908,7.014798475916502e-21,23.292457005968345
2020-06-30,12,1,2,310.00544622088626,102.88177706477927,1.285563544304262e-10,134.0990755046605
2020-06-30,12,2,0,453.604487844328,5803.414919254916,3.017635206622365e-14,340.80258230693926
2020-06-30,12,6,0,1595.602098271389,18101.958770437916,3.3796595862951336e-20,70.79832568749234
2020-06-30,13,1,0,4714.377874991113,45182.1421414047,7.576195515671949e-21,40.31470041716527
2020-06-30,13,2,0,2456.003157084486,25944.838878628572,1.4289056789892624e-20,57.08926061498626
2020-06-30,13,6,0,27305.00844647254,225188.64409427004,3.706608644588172e-21,41.98026384329911
2020-06-30,14,1,2,564.3840534922239,101.13796164208541,3.49499607317175e-11,103.17010762534213
2020-06-30,14,2,2,51111.42592998138,103.65993668150371,1.3640802954526585e-09,169.4770413310491
2020-06-30,14,6,2,277241.0925966481,102.32021179554194,2.1843918679585638e-13,146.159137888042
2020-06-30,15,1,4,321.00117290486315,50.97951925571013,3.34063091894194e-11,70.13163252308614
2020-06-30,15,2,5,7586.246298324027,40.67176381090953,7.429204353321881e-11,52.08693659615947
2020-06-30,15,6,1,46678.638894972086,206.5768751290357,1.570714098587008e-14,236.6431949458932
2020-06-30,16,1,0,2372.333203289617,25202.49375688156,1.7707095505292878e-20,44.899170548600615
2020-06-30,17,1,0,1200.6228598584532,14263.345187373836,9.165804177215924e-20,114.2179359368106
2020-06-30,17,2,1,654.9462066793546,193.93411390090864,6.412000121712684e-05,188.79344032877177
2020-06-30,17,6,0,2127.4813157417343,23009.022816235713,1.8873396197729254e-20,46.929704541945846
2020-06-30,18,1,0,1200.4989551416988,14262.102963969595,2.6297982917261746e-19,132.46432756456218
2020-06-30,18,2,1,634.6144143645691,197.43408414779222,2.0291140627659822e-06,193.49888819596825
2020-06-30,18,6,0,8781.315680837726,78302.87045212243,5.2675017361839466e-21,27.31439665180718
2020-06-30,19,1,0,276.74972167845715,2898.032239525231,1.962624054460955e-10,591.2467526754064
2020-06-30,19,2,1,222.74732244251334,146.5534004421871,0.2897551899539189,204.76610669519243
2020-06-30,19,6,0,542.7071264267967,6995.044932720416,2.27956863701937e-15,341.060792846657
2020-06-30,20,1,0,376.41352086560016,4665.475240383892,1.0024534359702167e-12,405.1367720329001
2020-06-30,20,2,0,325.5651406466361,3826.3768174017778,5.0733912370251805e-12,497.4483699136003
2020-06-30,20,6,1,590.8913849285282,200.96581526951553,7.925140055342168e-13,152.494125388169
2020-06-30,21,1,0,1229.6241918107312,14553.320362005647,1.1573516519136316e-19,116.98333190933323
2020-06-30,22,1,0,2230.3342156476447,23934.491583554634,1.8438998094477357e-20,74.94851329899909
2020-06-30,22,2,1,8321.455955560521,202.42176705805664,3.947761683950905e-11,157.52217554892607
2020-06-30,22,6,0,56876.52741802529,457949.38701048604,3.691693322669434e-21,41.97220783579071
2020-06-30,23,1,0,632.7494683005101,8114.949693384639,9.72551368122614e-16,223.11349676030304
2020-06-30,23,2,0,901.1407658997763,11159.467890730644,1.3610106947698788e-17,153.7852148620572
2020-06-30,23,6,0,3036.433300763324,31014.771348583246,1.1972995656186698e-20,36.71748191675612
2020-06-30,24,1,0,4626.885185881843,44455.19975890333,7.703274836406258e-21,34.736778949762765
2020-06-30,24,2,1,2135.2666366643225,167.87135034752478,0.03704505942431181,229.25993896178986
2020-06-30,24,6,0,30482.979724201436,250239.448778235,3.834107991733051e-21,23.323132629819913
2020-06-30,25,1,0,772.045309992883,9737.669502855155,6.236987355853813e-17,164.25413278785646
2020-06-30,26,1,0,1327.0145543011051,15516.432512015897,4.2660138119758e-20,75.08192038678077
2020-06-30,26,2,1,10329.946185914454,202.83999995758012,6.720261337820371e-12,151.69621273941092
2020-06-30,26,6,0,38313.88051917249,311913.30685669614,3.7906492963755456e-21,36.403831286356024
2020-06-30,27,1,0,401.0252895939208,5042.501245635425,1.702296964138085e-13,452.60394393116167
2020-06-30,27,2,0,309.90438611665405,3545.649280746529,1.0914240827677203e-11,478.8669983312127
2020-06-30,27,6,0,1196.3086244067727,14220.075207576449,5.610483534414492e-19,122.92018394776228
2020-06-30,28,1,0,34081.5792134463,278588.8236093132,3.824632601006693e-21,32.100941087881544
2020-06-30,29,1,0,565.3743222955582,7283.65226575234,1.054560368844416e-14,263.0526802133158
2020-06-30,29,2,0,1064.7004961064008,12881.87809777102,1.0134895940316895e-18,167.33476570766874
2020-06-30,29,6,1,1851.3773449720816,200.0319843589108,1.7207932555689785e-07,161.21659274158318
2020-07-31,1,1,1,227.60108778797863,164.05242371094943,0.28312960316282937,206.84362353269626
2020-07-31,1,2,0,735.3710209930682,10079.942816563034,1.1463253422152237e-16,241.35458526641082
2020-07-31,1,6,0,2383.0351343077114,27858.411170411924,1.5144180562721335e-20,67.9929335831008
2020-07-31,2,1,1,168.74582891033623,219.3083895900304,1.2673823084151748e-05,223.93203697721526
2020-07-31,2,2,0,405.2758051845176,5295.00602296156,1.060625737239849e-12,394.90724658431895
2020-07-31,2,6,0,1124.6726612662253,14748.425899068652,1.761696310835211e-18,126.9044058804457
2020-07-31,3,1,1,291.07068260445453,165.99126612827914,0.30964948389835306,230.19130983201916
2020-07-31,3,2,3,348.21998749992423,76.55052700925636,8.624455748737949e-11,102.49543045808188
2020-07-31,3,6,0,2002.0253606301842,24058.3052817632,2.186519035376025e-20,72.87982034174134
2020-07-31,4,1,1,332.89303683311766,229.06841274956116,4.24580861647203e-13,144.97479971291693
2020-07-31,4,2,0,1222.5339569440348,15847.390859030877,2.547304166944382e-19,82.59183050070108
