cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2021-05-31,7,6,0,3075.846348157358,1736.6235918253549,297.60556711320436,13639.874795229614,55405.11566852264,0.007097446588211234,355051241365.89905,1.0018550348795827
2021-05-31,8,1,3,226.59405305603906,197.4054562164453,78.10885479846243,617.102267663181,1463.3813141805517,73.55404540160231,32611.330426092976,1.0018550348795827
2021-05-31,8,2,0,682.4722961053033,529.2052034643709,147.39682484396297,2630.691418619632,29833.807384793727,0.04663307532341875,14513219831.582998,1.0018550348795827
2021-05-31,8,6,1,1155.6753806830386,670.6641136048419,170.41560574971854,3694.124269249038,5201.798128786382,95.77927750385376,258660.27661490234,1.0018550348795827
2021-05-31,9,1,16,78.14886468940617,40.23493204933868,24.741667441521763,68.77160254810958,63.848032634096676,29.35113651580197,140.28305447806946,1.0018550348795827
2021-05-31,9,2,5,215.77136752522702,135.55919796113457,62.069075464133036,359.89491672987066,340.53087144255824,87.3622898164091,1339.8460586896617,1.0018550348795827
2021-05-31,9,6,3,1335.2415777748072,326.4831800039888,106.73250716670888,1308.257507156521,1611.0095941682807,87.10591608059056,26936.519517460943,1.0018550348795827
2021-05-31,10,1,4,4146.700273797082,313.8696875445429,105.16478113061936,1268.794821250814,17638.28180538395,344.46285123116155,951277.8300014682,1.0018550348795827
2021-05-31,10,2,9,1944.9301368985412,94.96815146598719,47.25843282136786,215.62784004389607,100583.12866008222,2557.1204905145028,3748379.004480033,1.0018550348795827
2021-05-31,10,6,12,19732.861643768112,78.30950930903018,41.352984776884085,162.3069583471107,475.554037281328,148.98772520687172,1491.6199697317056,1.0018550348795827
2021-05-31,11,1,5,204.1189329107518,134.45978259514968,59.4559044124661,357.5454671564656,1110.5686837217793,30.615151336698286,39094.79355830422,1.0018550348795827
2021-05-31,11,2,3,349.7275565438822,228.94562714764243,85.77703703570228,740.5945238463289,3114447.3091236395,445.4447931943532,21335882930.322887,1.0018550348795827
2021-05-31,11,6,1,3071.104952978196,1107.1561992532288,227.99901648102676,7491.141130047592,11528.045912092832,149.6789706999363,906076.6915512966,1.0018550348795827
2021-05-31,12,1,6,174.71998824341577,111.88896554202084,54.158263460921766,259.8385393372498,8147.085958647005,370.0441012382632,184567.2312705937,1.0018550348795827
2021-05-31,12,2,1,373.3140334427897,357.40388386362713,113.75267886189127,1493.6592236917522,16822.385629685697,123.9687530648801,2286215.975519822,1.0018550348795827
